Date,Date,Store,Predicted Sales,Customer
2022-09-11,2022-09-11,22,6150.166666666667,649.25
2022-09-12,2022-09-12,22,6150.166666666667,648.0833333333334
2022-09-13,2022-09-13,22,6026.25,665.4166666666666
2022-09-14,2022-09-14,22,6026.25,659.25
2022-09-15,2022-09-15,22,6026.25,623.3333333333334
2022-09-16,2022-09-16,22,6026.25,623.3333333333334
2022-09-17,2022-09-17,22,6026.25,623.3333333333334
2022-09-18,2022-09-18,22,5992.333333333333,642.6666666666666
2022-09-19,2022-09-19,22,5972.333333333333,606.3333333333334
2022-09-20,2022-09-20,22,5972.333333333333,606.3333333333334
2022-09-21,2022-09-21,22,5972.333333333333,606.3333333333334
2022-09-22,2022-09-22,22,5972.333333333333,606.3333333333334
2022-09-23,2022-09-23,22,5972.333333333333,606.3333333333334
2022-09-24,2022-09-24,22,5972.333333333333,606.3333333333334
2022-09-25,2022-09-25,22,6042.75,615.5
2022-09-26,2022-09-26,22,6174.5,615.5
2022-09-27,2022-09-27,22,6174.5,615.5
2022-09-28,2022-09-28,22,6174.5,617.0
2022-09-29,2022-09-29,22,6174.5,617.0
2022-09-30,2022-09-30,22,6174.5,617.0
2022-10-01,2022-10-01,22,6106.5,640.75
2022-10-02,2022-10-02,22,6106.5,640.75
2022-10-03,2022-10-03,22,6106.5,640.75
2022-10-04,2022-10-04,22,6106.5,640.75
2022-10-05,2022-10-05,22,6106.5,640.75
2022-10-06,2022-10-06,22,6106.5,640.75
2022-10-07,2022-10-07,22,6106.5,640.75
2022-10-08,2022-10-08,22,6120.833333333333,640.75
2022-10-09,2022-10-09,22,6120.833333333333,640.75
2022-10-10,2022-10-10,22,6120.833333333333,640.75
2022-10-11,2022-10-11,22,6120.833333333333,640.75
2022-10-12,2022-10-12,22,6120.833333333333,639.5833333333334
2022-10-13,2022-10-13,22,5996.916666666667,665.4166666666666
2022-10-14,2022-10-14,22,5996.916666666667,659.25
2022-10-15,2022-10-15,22,5996.916666666667,623.3333333333334
2022-10-16,2022-10-16,22,5996.916666666667,623.3333333333334
2022-10-17,2022-10-17,22,5996.916666666667,623.3333333333334
2022-10-18,2022-10-18,22,5963.0,642.6666666666666
2022-10-19,2022-10-19,22,5963.0,606.3333333333334
2022-10-20,2022-10-20,22,5963.0,606.3333333333334
2022-10-21,2022-10-21,22,5963.0,606.3333333333334
2022-10-22,2022-10-22,22,5963.0,606.3333333333334
