Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,CompetitionBeforeStoreOpened,PromoInterval0,PromoInterval1,PromoInterval2,PromoInterval3
1,c,a,1270.0,9,2008,0,0,0,"0,0,0,0",0,0,0,0,0
2,a,a,570.0,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
3,a,a,14130.0,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
4,c,c,620.0,9,2009,0,0,0,"0,0,0,0",0,0,0,0,0
5,a,a,29910.0,4,2015,0,0,0,"0,0,0,0",0,0,0,0,0
6,a,a,310.0,12,2013,0,0,0,"0,0,0,0",0,0,0,0,0
7,a,c,24000.0,4,2013,0,0,0,"0,0,0,0",0,0,0,0,0
8,a,a,7520.0,10,2014,0,0,0,"0,0,0,0",0,0,0,0,0
9,a,c,2030.0,8,2000,0,0,0,"0,0,0,0",0,0,0,0,0
10,a,a,3160.0,9,2009,0,0,0,"0,0,0,0",0,0,0,0,0
11,a,c,960.0,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
12,a,c,1070.0,1,1900,1,13,2010,"Jan,Apr,Jul,Oct",1,1,4,7,10
13,d,a,310.0,1,1900,1,45,2009,"Feb,May,Aug,Nov",1,2,5,8,11
14,a,a,1300.0,3,2014,1,40,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
15,d,c,4110.0,3,2010,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
16,a,c,3270.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
17,a,a,50.0,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
18,d,c,13840.0,6,2010,1,14,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
19,a,c,3240.0,1,1900,1,22,2011,"Mar,Jun,Sept,Dec",1,3,6,9,12
20,d,a,2340.0,5,2009,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
21,c,c,550.0,10,1999,1,45,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
22,a,a,1040.0,1,1900,1,22,2012,"Jan,Apr,Jul,Oct",1,1,4,7,10
23,d,a,4060.0,8,2005,0,0,0,"0,0,0,0",0,0,0,0,0
